payload_number;adc_time;sg_1;sg_2;sg_3;sg_4
352;37;1641;1639;1636;1636
353;38;1638;1637;1637;1637
354;37;1640;1638;1643;1639
355;38;1640;1636;1635;1635
356;38;1635;1628;1632;1636
357;38;1639;1640;1637;1635
358;38;1644;1643;1640;1639
359;44;1638;1636;1635;1636
360;38;1638;1640;1632;1636
361;38;1644;1640;1638;1637
362;38;1639;1639;1640;1637
363;37;1639;1645;1648;1643
364;37;1637;1634;1633;1639
365;38;1640;1642;1639;1637
366;38;1643;1645;1637;1639
367;38;1639;1637;1637;1639
368;37;1641;1643;1643;1639
369;37;1640;1638;1637;1638
370;44;1638;1635;1637;1638
371;38;1638;1639;1636;1635
372;37;1639;1637;1635;1636
373;37;1637;1637;1645;1643
374;38;1641;1637;1635;1632
375;37;1643;1641;1639;1639
376;38;1643;1641;1640;1638
377;38;1643;1644;1639;1638
378;37;1638;1636;1637;1639
379;37;1639;1643;1638;1637
380;37;1646;1648;1649;1642
381;44;1636;1636;1636;1642
382;38;1640;1643;1641;1637
383;37;1637;1637;1637;1639
384;37;1640;1639;1645;1642
385;38;1641;1641;1639;1637
386;38;1639;1636;1636;1639
387;38;1640;1639;1646;1640
388;38;1630;1630;1633;1634
389;37;1637;1629;1630;1637
390;37;1638;1632;1628;1633
391;38;1639;1633;1633;1630
392;44;1637;1635;1640;1639
393;38;1638;1644;1640;1638
394;37;1638;1637;1637;1638
395;37;1639;1640;1644;1639
396;38;1640;1636;1637;1635
397;37;1637;1636;1635;1639
398;37;1640;1639;1647;1646
399;38;1641;1636;1632;1633
400;37;1639;1638;1639;1639
401;38;1641;1641;1637;1637
402;38;1645;1641;1639;1638
403;44;1636;1636;1637;1638
404;38;1640;1638;1635;1633
405;37;1642;1636;1635;1636
406;37;1637;1637;1631;1629
407;38;1634;1634;1635;1628
408;38;1638;1640;1637;1639
409;38;1640;1639;1643;1639
410;38;1640;1639;1636;1637
411;37;1637;1638;1638;1640
412;37;1639;1640;1636;1635
413;37;1641;1635;1635;1635
414;44;1638;1635;1640;1640
415;38;1641;1641;1636;1633
416;37;1641;1635;1634;1638
417;38;1639;1640;1640;1635
418;38;1641;1644;1639;1638
419;37;1639;1637;1636;1638
420;38;1640;1640;1643;1638
421;38;1639;1634;1634;1634
422;37;1634;1633;1637;1637
423;37;1637;1642;1641;1636
424;38;1641;1636;1634;1632
425;44;1639;1638;1637;1639
426;38;1635;1631;1632;1636
427;38;1638;1639;1632;1632
428;37;1639;1636;1632;1631
429;38;1639;1639;1636;1634
430;37;1640;1637;1636;1637
431;38;1642;1638;1637;1637
432;38;1640;1637;1635;1633
433;38;1638;1636;1637;1639
434;38;1640;1640;1639;1636
435;38;1645;1641;1639;1638
436;44;1636;1636;1636;1641
437;38;1641;1642;1638;1635
438;38;1641;1637;1636;1635
439;38;1640;1641;1639;1635
440;37;1639;1642;1638;1636
441;37;1634;1633;1635;1639
442;38;1640;1640;1645;1641
443;38;1641;1638;1637;1636
444;38;1641;1638;1637;1639
445;38;1642;1641;1638;1637
446;37;1638;1633;1631;1629
447;44;1631;1629;1633;1638
448;38;1634;1634;1633;1635
449;37;1638;1633;1632;1636
450;38;1636;1638;1643;1640
451;37;1640;1642;1636;1635
452;37;1642;1637;1638;1637
453;38;1638;1640;1638;1636
454;38;1639;1635;1633;1634
455;37;1639;1636;1634;1636
456;37;1637;1640;1637;1635
457;37;1641;1639;1635;1632
458;44;1632;1633;1635;1637
459;38;1634;1637;1636;1636
460;38;1645;1638;1637;1638
461;37;1639;1638;1644;1641
462;38;1640;1636;1637;1635
463;38;1635;1633;1636;1637
464;37;1638;1638;1644;1636
465;38;1636;1636;1634;1637
