payload_number;time_stamp;time_adc;time_tx;sg_1;sg_2;sg_3;sg_4
529;2589574;9;81;2185;0;0;0
530;2590574;7;87;2189;0;0;0
531;2591574;7;81;2175;0;0;0
532;2592574;7;81;2216;0;0;0
533;2593574;9;81;2226;0;0;0
534;2594574;8;81;2221;0;0;0
535;2595574;7;81;2202;0;0;0
536;2596574;8;81;2195;0;0;0
537;2597574;9;81;2187;0;0;0
538;2598574;8;81;2222;0;0;0
539;2599574;8;81;2184;0;0;0
540;2600574;7;81;2219;0;0;0
541;2601574;9;85;2283;0;0;0
542;2602574;7;81;2197;0;0;0
543;2603574;8;81;2214;0;0;0
544;2604574;7;81;2185;0;0;0
545;2605574;9;81;2196;0;0;0
546;2606574;8;81;2185;0;0;0
547;2607574;8;81;2161;0;0;0
548;2608574;7;81;2166;0;0;0
549;2609574;9;81;2182;0;0;0
550;2610574;7;81;2130;0;0;0
551;2611574;7;81;2182;0;0;0
552;2612574;8;87;2216;0;0;0
553;2613574;9;81;2211;0;0;0
554;2614574;8;81;2202;0;0;0
555;2615574;7;81;2204;0;0;0
556;2616574;8;81;2132;0;0;0
557;2617574;9;81;2176;0;0;0
558;2618574;7;81;2154;0;0;0
559;2619574;7;81;2206;0;0;0
560;2620574;7;81;2224;0;0;0
561;2621574;9;81;2269;0;0;0
562;2622574;8;81;2217;0;0;0
563;2623574;8;87;2198;0;0;0
564;2624574;7;81;2181;0;0;0
565;2625574;9;81;2194;0;0;0
566;2626574;8;81;2190;0;0;0
567;2627574;8;81;2200;0;0;0
568;2628574;7;81;2245;0;0;0
569;2629574;9;81;2226;0;0;0
570;2630574;8;82;2225;0;0;0
571;2631574;7;81;2188;0;0;0
572;2632574;7;81;2185;0;0;0
573;2633574;9;81;2197;0;0;0
574;2634574;7;87;2192;0;0;0
575;2635574;7;81;2187;0;0;0
576;2636574;7;81;2219;0;0;0
577;2637574;9;81;2225;0;0;0
578;2638574;8;81;2224;0;0;0
579;2639574;7;81;2199;0;0;0
580;2640574;8;81;2190;0;0;0
581;2641574;9;81;2188;0;0;0
582;2642574;8;81;2195;0;0;0
583;2643574;7;81;2180;0;0;0
584;2644574;8;81;2217;0;0;0
585;2645574;9;86;2228;0;0;0
586;2646574;8;82;2279;0;0;0
587;2647574;8;81;2257;0;0;0
588;2648574;7;81;2200;0;0;0
589;2649574;9;81;2198;0;0;0
590;2650574;8;81;2188;0;0;0
591;2651574;8;81;2183;0;0;0
592;2652574;8;81;2122;0;0;0
593;2653574;9;81;2186;0;0;0
594;2654574;7;81;2127;0;0;0
595;2655574;7;81;2183;0;0;0
596;2656574;8;87;2216;0;0;0
597;2657574;9;81;2217;0;0;0
598;2658574;7;81;2202;0;0;0
599;2659574;8;81;2198;0;0;0
600;2660574;8;82;2176;0;0;0
601;2661574;9;81;2173;0;0;0
602;2662574;8;82;2178;0;0;0
603;2663574;8;81;2215;0;0;0
604;2664574;7;81;2233;0;0;0
605;2665574;9;81;2229;0;0;0
606;2666574;7;81;2220;0;0;0
607;2667574;8;87;2193;0;0;0
608;2668574;8;81;2173;0;0;0
609;2669574;9;81;2199;0;0;0
610;2670574;8;81;2174;0;0;0
611;2671574;8;81;2115;0;0;0
612;2672574;7;81;2176;0;0;0
613;2673574;9;81;2227;0;0;0
614;2674574;8;81;2226;0;0;0
615;2675574;7;81;2190;0;0;0
616;2676574;8;81;2190;0;0;0
617;2677574;9;81;2202;0;0;0
618;2678574;7;87;2202;0;0;0
619;2679574;7;81;2125;0;0;0
620;2680574;8;81;2156;0;0;0
621;2681574;9;81;2223;0;0;0
622;2682574;8;81;2229;0;0;0
623;2683574;7;81;2203;0;0;0
624;2684574;8;81;2199;0;0;0
625;2685574;9;81;2186;0;0;0
626;2686574;8;81;2198;0;0;0
627;2687574;7;81;2188;0;0;0
628;2688574;8;81;2246;0;0;0
629;2689574;9;85;2202;0;0;0
630;2690574;7;81;2224;0;0;0
631;2691574;7;81;2226;0;0;0
632;2692574;8;81;2192;0;0;0
633;2693574;9;81;2199;0;0;0
634;2694574;8;81;2192;0;0;0
635;2695574;8;81;2174;0;0;0
636;2696574;8;81;2189;0;0;0
637;2697574;9;81;2131;0;0;0
638;2698574;7;81;2167;0;0;0
639;2699574;8;81;2210;0;0;0
640;2700574;7;87;2226;0;0;0
641;2701574;9;81;2273;0;0;0
642;2702574;7;81;2203;0;0;0
643;2703574;7;81;2203;0;0;0
644;2704574;8;82;2131;0;0;0
645;2705574;9;81;2159;0;0;0
646;2706574;7;81;2174;0;0;0
647;2707574;8;81;2227;0;0;0
648;2708574;8;82;2285;0;0;0
649;2709574;9;81;2227;0;0;0
650;2710574;8;81;2218;0;0;0
651;2711574;7;87;2191;0;0;0
652;2712574;8;81;2160;0;0;0
653;2713574;9;81;2191;0;0;0
654;2714574;8;82;2188;0;0;0
655;2715574;8;81;2137;0;0;0
656;2716574;7;81;2198;0;0;0
657;2717574;9;81;2228;0;0;0
658;2718574;8;81;2228;0;0;0
659;2719574;7;81;2185;0;0;0
660;2720574;7;81;2195;0;0;0
661;2721574;9;81;2196;0;0;0
662;2722574;8;87;2200;0;0;0
663;2723574;8;81;2131;0;0;0
664;2724574;7;81;2178;0;0;0
665;2725574;9;81;2226;0;0;0
666;2726574;8;82;2259;0;0;0
667;2727574;7;81;2259;0;0;0
668;2728574;8;81;2211;0;0;0
669;2729574;9;81;2184;0;0;0
670;2730574;8;81;2198;0;0;0
671;2731574;7;81;2171;0;0;0
672;2732574;7;81;2207;0;0;0
673;2733574;9;85;2230;0;0;0
674;2734574;7;81;2218;0;0;0
675;2735574;8;81;2225;0;0;0
676;2736574;8;81;2189;0;0;0
677;2737574;9;81;2195;0;0;0
678;2738574;8;81;2190;0;0;0
679;2739574;7;81;2182;0;0;0
680;2740574;8;81;2186;0;0;0
681;2741574;9;81;2141;0;0;0
682;2742574;7;81;2183;0;0;0
683;2743574;7;81;2213;0;0;0
684;2744574;8;87;2229;0;0;0
685;2745574;9;81;2218;0;0;0
686;2746574;8;81;2222;0;0;0
687;2747574;7;81;2209;0;0;0
688;2748574;8;81;2187;0;0;0
689;2749574;9;81;2170;0;0;0
690;2750574;8;81;2164;0;0;0
691;2751574;8;82;2207;0;0;0
692;2752574;7;81;2227;0;0;0
693;2753574;9;81;2228;0;0;0
694;2754574;8;81;2226;0;0;0
695;2755574;7;87;2194;0;0;0
696;2756574;7;81;2190;0;0;0
697;2757574;9;81;2185;0;0;0
698;2758574;8;82;2182;0;0;0
699;2759574;8;82;2126;0;0;0
700;2760574;7;81;2189;0;0;0
701;2761574;9;81;2219;0;0;0
702;2762574;7;81;2228;0;0;0
703;2763574;7;81;2189;0;0;0
704;2764574;8;81;2191;0;0;0
705;2765574;9;81;2189;0;0;0
706;2766574;8;87;2252;0;0;0
707;2767574;7;81;2177;0;0;0
708;2768574;8;81;2218;0;0;0
709;2769574;9;81;2233;0;0;0
710;2770574;8;82;2224;0;0;0
711;2771574;7;81;2204;0;0;0
712;2772574;7;81;2200;0;0;0
713;2773574;9;81;2176;0;0;0
714;2774574;8;81;2197;0;0;0
715;2775574;7;81;2170;0;0;0
716;2776574;7;81;2210;0;0;0
